,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1578,facs,3m,18m,male,1810033B17Rik,1.0226047039031982,3.217017001588829e-05,6.535639113280922e-05,0.00033446724410168827,1.4494482118054774e-19
1579,facs,3m,18m,female,Matn2,-1.022556185722351,5.296333256410435e-05,2.6070849344250746e-05,0.00024078898422885686,7.6917083745062465e-28
1580,facs,3m,18m,male,Lrrc25,1.022098422050476,2.160200892831199e-05,4.387089211377315e-05,0.0001970262237591669,6.493330348826211e-23
1581,facs,3m,18m,male,Fosb,-1.0217077732086182,0.0001790792593965307,8.820243965601549e-05,0.0004224241420160979,9.775444243258958e-131
1582,facs,3m,18m,male,Sema6d,-1.021435260772705,2.1734682377427816e-05,1.0707070032367483e-05,0.00010143715917365626,2.8220342605189855e-11
1583,facs,3m,18m,female,Elf3,-1.020961880683899,0.00010767427738755941,5.3060557547723874e-05,0.0003778490354306996,1.3511676741876312e-49
1584,facs,3m,18m,female,Angptl1,-1.0207853317260742,2.5203948098351248e-05,1.2421715837263037e-05,0.00019081754726357758,3.5822805441643444e-06
1585,facs,3m,18m,male,Camsap2,-1.020663857460022,2.153298191842623e-05,1.0613380254653748e-05,9.796085942070931e-05,2.394763871464718e-09
1586,facs,3m,18m,male,Tmem119,1.0204873085021973,0.0005719031323678792,0.0011601649457588792,0.0032665806356817484,2.889209331724732e-83
1587,facs,3m,18m,male,Lnpep,-1.0204744338989258,4.663657819037326e-05,2.2989695935393684e-05,0.00014040266978554428,1.0357533434450583e-42
1588,facs,3m,18m,male,Gmfb,-1.0202380418777466,4.357287980383262e-05,2.1482952433871105e-05,0.00013926601968705654,3.3519231334890987e-40
1589,facs,3m,18m,female,Ctdnep1,1.019953966140747,1.437154696759535e-05,2.9143402571207844e-05,0.00011840127990581095,8.80691426977109e-21
1590,facs,3m,18m,male,Rnf11,-1.0199321508407593,5.0761289458023384e-05,2.5032397388713434e-05,0.00013117618800606579,7.44104151502214e-56
1591,facs,3m,18m,female,Wtap,-1.0198651552200317,0.00014784297673031688,7.291060319403186e-05,0.0007962040253914893,2.5068702877940122e-28
1592,facs,3m,18m,female,6430527G18Rik,1.0198220014572144,2.1551857571466826e-05,4.370003080111928e-05,0.00013357451825868338,9.774688337255604e-46
1593,facs,3m,18m,male,Acvr2a,-1.0197758674621582,1.6157615391421132e-05,7.968822501425166e-06,8.412719034822658e-05,5.786345878011584e-06
1594,facs,3m,18m,male,Zfp318,-1.0196216106414795,2.7987189241684973e-05,1.3804560694552492e-05,0.00013784652401227504,8.932303690233419e-15
1595,facs,3m,18m,male,Pde8a,-1.0193320512771606,2.1176423615543172e-05,1.0447276508784853e-05,8.113784861052409e-05,1.3502420549553174e-12
1596,facs,3m,18m,male,Bms1,-1.0190969705581665,2.493054125807248e-05,1.230135512741981e-05,0.00011343701044097543,1.2140373871322098e-14
1597,facs,3m,18m,male,Gngt2,1.0189660787582397,3.5356104490347207e-05,7.16479480615817e-05,0.00029918228392489254,5.170056992211529e-33
1598,facs,3m,18m,male,Ogn,-1.0188217163085938,0.00012300572416279465,6.070569725125097e-05,0.00046075525460764766,7.753528448319994e-53
1599,facs,3m,18m,female,Fkbp10,-1.018187403678894,4.0264480048790574e-05,1.9880033505614847e-05,0.00013924221275374293,4.053023733567494e-32
1600,facs,3m,18m,male,Ltn1,-1.0178052186965942,2.478778151271399e-05,1.2241869626450352e-05,0.00010976759949699044,7.918939318201387e-15
1601,facs,3m,18m,male,Spire1,-1.01777184009552,1.959578730748035e-05,9.67793857853394e-06,9.634591697249562e-05,6.721025996258538e-08
1602,facs,3m,18m,female,Postn,-1.0174132585525513,0.0001855089794844389,9.164167568087578e-05,0.0009235952165909111,4.3162906130170964e-29
1603,facs,3m,18m,male,Uhmk1,-1.0173616409301758,2.0667677745223045e-05,1.0210224900220055e-05,0.00011346697283443063,3.786432967131674e-09
1604,facs,3m,18m,male,Exoc2,-1.0172970294952393,2.3762608179822564e-05,1.1739704859792255e-05,0.00011645935592241585,8.1413288857949e-12
1605,facs,3m,18m,male,Hif1a,-1.017285704612732,0.00010144728003069758,5.011951725464314e-05,0.00023563879949506372,4.976834977525247e-102
1606,facs,3m,18m,male,Pcdh7,-1.0170018672943115,1.8435561287333257e-05,9.109789061767515e-06,8.232150867115706e-05,8.817152013327723e-08
1607,facs,3m,18m,female,Ccrn4l,-1.0159714221954346,4.618221282726154e-05,2.28368844545912e-05,0.000173610940692015,5.636714895415357e-32
1608,facs,3m,18m,male,Epdr1,-1.0156632661819458,2.809709076245781e-05,1.389684621244669e-05,0.00012491706002037972,4.3461321160641824e-13
1609,facs,3m,18m,male,Lrrc8d,-1.0154175758361816,3.098614979535341e-05,1.5328385416069068e-05,0.00011248474766034633,4.169902338504041e-24
1610,facs,3m,18m,male,C1s,-1.0150771141052246,0.0001449853734811768,7.173903577495366e-05,0.0004561905225273222,5.1222134179788314e-58
1611,facs,3m,18m,female,Asna1,1.0147604942321777,1.3009997019253206e-05,2.6287576474715024e-05,0.0001284157478949055,2.2117055007793936e-15
1612,facs,3m,18m,male,Wsb1,-1.0146398544311523,0.00010476970055606216,5.185596091905609e-05,0.0002492806816007942,3.207919608556488e-109
1613,facs,3m,18m,male,Tulp4,-1.0141912698745728,3.026857848453801e-05,1.4986148926254828e-05,0.00011338817421346903,3.9436037713107044e-23
1614,facs,3m,18m,male,Dgcr2,-1.0140950679779053,5.9832873375853524e-05,2.962557482533157e-05,0.00017602606385480613,2.1049639991819658e-52
